Case Daily Trends - United States
Date generated: Sun Mar 28 2021 11:00:10 GMT-0700 (Pacific Daylight Time)
Date,New Cases,7-Day Moving Avg
Mar 27 2021,62184,60425
Mar 26 2021,71593,60176
Mar 25 2021,68470,58790
Mar 24 2021,66465,57446
Mar 23 2021,59248,56272
Mar 22 2021,56002,55262
Mar 21 2021,39018,54409
Mar 20 2021,60437,54602
Mar 19 2021,61893,53501
Mar 18 2021,59062,53678
Mar 17 2021,58246,54005
Mar 16 2021,52177,54434
Mar 15 2021,50034,54555
Mar 14 2021,40369,53570
Mar 13 2021,52729,53758
Mar 12 2021,63133,54507
Mar 11 2021,61349,55041
Mar 10 2021,61249,55857
Mar 9 2021,53022,56686
Mar 8 2021,43143,56924
Mar 7 2021,41682,58076
Mar 6 2021,57972,59289
Mar 5 2021,66875,61067
Mar 4 2021,67057,62014
Mar 3 2021,67052,63046
Mar 2 2021,54692,64239
Mar 1 2021,51205,66506
Feb 28 2021,50171,67146
Feb 27 2021,70418,67666
Feb 26 2021,73507,67606
Feb 25 2021,74283,67562
Feb 24 2021,75397,66719
Feb 23 2021,70565,65895
Feb 22 2021,55686,64114
Feb 21 2021,53812,64169
Feb 20 2021,69997,65895
Feb 19 2021,73197,68595
Feb 18 2021,68381,72156
Feb 17 2021,69632,76993
Feb 16 2021,58095,80920
Feb 15 2021,56073,85745
Feb 14 2021,65890,90200
Feb 13 2021,88900,93705
Feb 12 2021,98127,96373
Feb 11 2021,102234,100424
Feb 10 2021,97121,104061
Feb 9 2021,91872,107371
Feb 8 2021,87261,111172
Feb 7 2021,90423,116768
Feb 6 2021,107577,119954
Feb 5 2021,126481,124762
Feb 4 2021,127697,130288
Feb 3 2021,120286,134814
Feb 2 2021,118483,140066
Feb 1 2021,126432,144566
Jan 31 2021,112724,145724
Jan 30 2021,141232,149627
Jan 29 2021,165167,153970
Jan 28 2021,159378,157992
Jan 27 2021,157050,162317
Jan 26 2021,149982,166799
Jan 25 2021,134538,166731
Jan 24 2021,140048,168773
Jan 23 2021,171629,175216
Jan 22 2021,193321,181372
Jan 21 2021,189657,189204
Jan 20 2021,188421,194359
Jan 19 2021,149506,199693
Jan 18 2021,148830,210035
Jan 17 2021,185154,217601
Jan 16 2021,214716,222571
Jan 15 2021,248145,227462
Jan 14 2021,225747,237029
Jan 13 2021,225754,245247
Jan 12 2021,221904,248867
Jan 11 2021,201791,250399
Jan 10 2021,219942,246898
Jan 9 2021,248951,244950
Jan 8 2021,315119,250199
Jan 7 2021,283271,229763
Jan 6 2021,251095,222624
Jan 5 2021,232629,220449
Jan 4 2021,177281,216434
Jan 3 2021,206304,216129
Jan 2 2021,285697,207698
Jan 1 2021,172065,192711
Dec 31 2020,233300,188421
Dec 30 2020,235872,182821
Dec 29 2020,204522,181902
Dec 28 2020,175146,181375
Dec 27 2020,147285,182769
Dec 26 2020,180791,190199
Dec 25 2020,142031,193143
Dec 24 2020,194102,206467
Dec 23 2020,229438,214553
Dec 22 2020,200835,216576
Dec 21 2020,184903,217458
Dec 20 2020,199294,220991
Dec 19 2020,201398,218335
Dec 18 2020,235302,220461
Dec 17 2020,250704,222405
Dec 16 2020,243596,216483
Dec 15 2020,207010,215541
Dec 14 2020,209636,217964
Dec 13 2020,180704,215329
Dec 12 2020,216278,214203
Dec 11 2020,248910,213108
Dec 10 2020,209251,209552
Dec 9 2020,236998,211203
Dec 8 2020,223972,206270
Dec 7 2020,191194,200432
Dec 6 2020,172822,195046
Dec 5 2020,208609,192540
Dec 4 2020,224024,183425
Dec 3 2020,220806,176092
Dec 2 2020,202465,165933
Dec 1 2020,183105,163759
Nov 30 2020,153493,161792
Nov 29 2020,155278,162684
Nov 28 2020,144808,162417
Nov 27 2020,172695,167775
Nov 26 2020,149688,171033
Nov 25 2020,187251,176612
Nov 24 2020,169337,173875
Nov 23 2020,159737,173516
Nov 22 2020,153408,172739
Nov 21 2020,182314,166007
Nov 20 2020,195496,168325
Nov 19 2020,188745,166153
Nov 18 2020,168090,162218
Nov 17 2020,166822,159330
Nov 16 2020,154302,155476
Nov 15 2020,106285,150981
Nov 14 2020,198537,151013
Nov 13 2020,180290,136994
Nov 12 2020,161206,130096
Nov 11 2020,147871,124439
Nov 10 2020,139846,119228
Nov 9 2020,122834,112504
Nov 8 2020,106512,107426
Nov 7 2020,100402,112275
Nov 6 2020,132006,110692
Nov 5 2020,121602,105845
Nov 4 2020,111400,101476
Nov 3 2020,92774,97579
Nov 2 2020,87289,94877
Nov 1 2020,140455,91887
Oct 31 2020,89321,80905
Oct 30 2020,98074,79802
Oct 29 2020,91019,77874
Oct 28 2020,84123,75664
Oct 27 2020,73858,72932
Oct 26 2020,66364,71140
Oct 25 2020,63579,70317
Oct 24 2020,81598,68218
Oct 23 2020,84581,64248
Oct 22 2020,75551,61965
Oct 21 2020,64999,60369
Oct 20 2020,61308,59368
Oct 19 2020,60606,57741
Oct 18 2020,48887,55991
Oct 17 2020,53810,55799
Oct 16 2020,68597,55317
Oct 15 2020,64380,53962
Oct 14 2020,57989,52783
Oct 13 2020,49921,52247
Oct 12 2020,48359,50925
Oct 11 2020,47542,49768
Oct 10 2020,50434,48167
Oct 9 2020,59115,47864
Oct 8 2020,56121,46668
Oct 7 2020,54243,45477
Oct 6 2020,40665,44381
Oct 5 2020,40262,44142
Oct 4 2020,36335,43526
Oct 3 2020,48309,43548
Oct 2 2020,50742,43737
Oct 1 2020,47788,43186
Sep 30 2020,46567,42536
Sep 29 2020,38997,41833
Sep 28 2020,35947,43200
Sep 27 2020,36486,43722
Sep 26 2020,49636,43901
Sep 25 2020,46882,42932
Sep 24 2020,43241,43269
Sep 23 2020,41648,43336
Sep 22 2020,48562,43498
Sep 21 2020,39601,41562
Sep 20 2020,37738,40836
Sep 19 2020,42856,40290
Sep 18 2020,49238,40069
Sep 17 2020,43711,39666
Sep 16 2020,42785,38938
Sep 15 2020,35009,37586
Sep 14 2020,34516,36038
Sep 13 2020,33918,34846
Sep 12 2020,41309,34881
Sep 11 2020,46414,35423
Sep 10 2020,38615,35974
Sep 9 2020,33322,36961
Sep 8 2020,24174,37999
Sep 7 2020,26171,40812
Sep 6 2020,34162,41752
Sep 5 2020,45108,42313
Sep 4 2020,50266,42154
Sep 3 2020,45529,41376
Sep 2 2020,40584,41726
Sep 1 2020,43869,42664
Aug 31 2020,32750,41821
Aug 30 2020,38089,41931
Aug 29 2020,43996,42046
Aug 28 2020,44818,42227
Aug 27 2020,47976,42607
Aug 26 2020,47150,42246
Aug 25 2020,37971,42186
Aug 24 2020,33517,42521
